episode_index,episode_length,is_successful
0,10,False
1,18,False
2,12,False
3,18,False
4,21,False
5,12,False
6,17,False
7,15,False
8,16,False
9,18,False
10,14,False
11,11,False
12,12,False
13,16,False
14,38,False
15,13,False
16,14,False
17,28,False
18,44,False
19,29,False
20,23,False
21,50,False
22,17,False
23,14,False
24,70,False
25,41,False
26,37,False
27,20,False
28,10,False
29,40,False
30,13,False
31,26,False
32,28,False
33,23,False
34,18,False
35,18,False
36,52,False
37,52,False
38,27,False
39,15,False
40,9,False
41,13,False
42,10,False
43,10,False
44,21,False
45,29,False
46,13,False
47,57,False
48,45,False
49,30,False
50,25,False
51,33,False
52,9,False
53,15,False
54,12,False
55,17,False
56,78,False
57,40,False
58,17,False
59,13,False
60,14,False
61,37,False
62,19,False
63,15,False
64,19,False
65,12,False
66,11,False
67,20,False
68,33,False
69,41,False
70,16,False
71,25,False
72,22,False
73,38,False
74,37,False
75,74,False
76,47,False
77,19,False
78,12,False
79,15,False
80,21,False
81,11,False
82,26,False
83,186,False
84,115,False
85,113,False
86,73,False
87,95,False
88,22,False
89,90,False
90,47,False
91,85,False
92,83,False
93,114,False
94,82,False
95,115,False
96,108,False
97,85,False
98,59,False
99,142,False
