episode_index,episode_length,is_successful
0,25,False
1,12,False
2,8,False
3,9,False
4,13,False
5,23,False
6,18,False
7,47,False
8,32,False
9,17,False
10,16,False
11,14,False
12,18,False
13,11,False
14,14,False
15,16,False
16,13,False
17,19,False
18,13,False
19,13,False
20,24,False
21,15,False
22,13,False
23,28,False
24,23,False
25,26,False
26,11,False
27,18,False
28,136,False
29,41,False
30,27,False
31,16,False
32,100,False
33,55,False
34,31,False
35,71,False
36,25,False
37,22,False
38,66,False
39,49,False
40,124,False
41,65,False
42,79,False
43,44,False
44,94,False
45,15,False
46,75,False
47,76,False
48,72,False
49,59,False
50,75,False
51,103,False
52,60,False
53,79,False
54,81,False
55,98,False
56,82,False
57,89,False
58,86,False
59,137,False
60,116,False
61,68,False
62,104,False
63,112,False
64,112,False
65,101,False
66,115,False
67,127,False
68,123,False
69,110,False
70,135,False
71,133,False
72,118,False
73,123,False
74,138,False
75,130,False
76,119,False
77,145,False
78,116,False
79,102,False
80,174,False
81,120,False
82,125,False
83,153,False
84,147,False
85,76,False
86,155,False
87,89,False
88,86,False
89,127,False
90,138,False
91,132,False
92,153,False
93,125,False
94,114,False
95,134,False
96,144,False
97,134,False
98,137,False
99,136,False
