episode_index,episode_length,is_successful
0,14,False
1,14,False
2,10,False
3,18,False
4,18,False
5,24,False
6,13,False
7,15,False
8,32,False
9,41,False
10,14,False
11,18,False
12,29,False
13,23,False
14,30,False
15,21,False
16,38,False
17,33,False
18,33,False
19,25,False
20,31,False
21,25,False
22,8,False
23,68,False
24,43,False
25,26,False
26,23,False
27,16,False
28,30,False
29,12,False
30,18,False
31,58,False
32,30,False
33,82,False
34,75,False
35,38,False
36,42,False
37,69,False
38,70,False
39,59,False
40,36,False
41,63,False
42,68,False
43,81,False
44,12,False
45,80,False
46,32,False
47,24,False
48,71,False
49,55,False
50,66,False
51,18,False
52,64,False
53,53,False
54,40,False
55,58,False
56,82,False
57,58,False
58,30,False
59,40,False
60,68,False
61,85,False
62,71,False
63,45,False
64,62,False
65,73,False
66,82,False
67,78,False
68,67,False
69,74,False
70,33,False
71,37,False
72,76,False
73,65,False
74,79,False
75,67,False
76,60,False
77,66,False
78,37,False
79,76,False
80,53,False
81,75,False
82,74,False
83,75,False
84,67,False
85,71,False
86,42,False
87,87,False
88,28,False
89,17,False
90,118,False
91,24,False
92,25,False
93,92,False
94,34,False
95,38,False
96,57,False
97,68,False
98,71,False
99,81,False
