episode_index,episode_length,is_successful
0,9,False
1,11,False
2,11,False
3,18,False
4,9,False
5,30,False
6,19,False
7,10,False
8,12,False
9,12,False
10,11,False
11,10,False
12,12,False
13,16,False
14,9,False
15,9,False
16,13,False
17,15,False
18,11,False
19,12,False
20,10,False
21,14,False
22,11,False
23,18,False
24,16,False
25,14,False
26,11,False
27,11,False
28,21,False
29,11,False
30,11,False
31,16,False
32,17,False
33,11,False
34,15,False
35,14,False
36,12,False
37,15,False
38,12,False
39,10,False
40,12,False
41,14,False
42,29,False
43,11,False
44,16,False
45,16,False
46,22,False
47,40,False
48,40,False
49,47,False
50,29,False
51,37,False
52,55,False
53,27,False
54,14,False
55,15,False
56,56,False
57,39,False
58,16,False
59,13,False
60,34,False
61,17,False
62,62,False
63,56,False
64,83,False
65,116,False
66,61,False
67,53,False
68,65,False
69,16,False
70,65,False
71,66,False
72,65,False
73,14,False
74,79,False
75,16,False
76,16,False
77,75,False
78,80,False
79,63,False
80,67,False
81,52,False
82,54,False
83,64,False
84,59,False
85,38,False
86,62,False
87,59,False
88,93,False
89,126,False
90,63,False
91,63,False
92,103,False
93,79,False
94,27,False
95,91,False
96,71,False
97,90,False
98,73,False
99,62,False
