episode_index,episode_length,is_successful
0,11,False
1,16,False
2,10,False
3,10,False
4,10,False
5,22,False
6,8,False
7,15,False
8,15,False
9,10,False
10,12,False
11,12,False
12,17,False
13,18,False
14,11,False
15,22,False
16,62,False
17,19,False
18,25,False
19,46,False
20,16,False
21,9,False
22,25,False
23,12,False
24,15,False
25,14,False
26,28,False
27,10,False
28,14,False
29,21,False
30,44,False
31,85,False
32,18,False
33,86,False
34,73,False
35,13,False
36,53,False
37,97,False
38,12,False
39,98,False
40,59,False
41,29,False
42,64,False
43,55,False
44,56,False
45,9,False
46,12,False
47,16,False
48,31,False
49,117,False
50,80,False
51,50,False
52,19,False
53,36,False
54,83,False
55,77,False
56,41,False
57,63,False
58,15,False
59,25,False
60,27,False
61,17,False
62,22,False
63,20,False
64,18,False
65,25,False
66,22,False
67,11,False
68,55,False
69,21,False
70,43,False
71,54,False
72,60,False
73,48,False
74,69,False
75,59,False
76,45,False
77,53,False
78,54,False
79,56,False
80,32,False
81,52,False
82,14,False
83,15,False
84,13,False
85,66,False
86,55,False
87,67,False
88,68,False
89,62,False
90,61,False
91,59,False
92,56,False
93,54,False
94,65,False
95,14,False
96,55,False
97,66,False
98,63,False
99,46,False
