episode_index,episode_length,is_successful
0,43,False
1,12,False
2,16,False
3,17,False
4,15,False
5,23,False
6,14,False
7,32,False
8,20,False
9,13,False
10,14,False
11,20,False
12,25,False
13,37,False
14,18,False
15,17,False
16,19,False
17,19,False
18,26,False
19,35,False
20,39,False
21,32,False
22,34,False
23,66,False
24,14,False
25,106,False
26,25,False
27,52,False
28,34,False
29,43,False
30,37,False
31,23,False
32,35,False
33,105,False
34,69,False
35,23,False
36,17,False
37,44,False
38,29,False
39,13,False
40,10,False
41,17,False
42,18,False
43,85,False
44,26,False
45,63,False
46,53,False
47,42,False
48,54,False
49,19,False
50,86,False
51,71,False
52,44,False
53,80,False
54,20,False
55,116,False
56,55,False
57,76,False
58,44,False
59,120,False
60,105,False
61,87,False
62,18,False
63,123,False
64,127,False
65,129,False
66,102,False
67,139,False
68,139,False
69,106,False
70,74,False
71,132,False
72,121,False
73,30,False
74,134,False
75,136,False
76,123,False
77,56,False
78,138,False
79,64,False
80,88,False
81,130,False
82,62,False
83,141,False
84,113,False
85,138,False
86,131,False
87,82,False
88,102,False
89,136,False
90,49,False
91,15,False
92,154,False
93,112,False
94,113,False
95,173,False
96,155,False
97,68,False
98,54,False
99,123,False
