episode_index,episode_length,is_successful
0,11,False
1,17,False
2,10,False
3,9,False
4,10,False
5,21,False
6,15,False
7,26,False
8,17,False
9,11,False
10,11,False
11,20,False
12,60,False
13,8,False
14,40,False
15,69,False
16,18,False
17,11,False
18,9,False
19,15,False
20,11,False
21,11,False
22,12,False
23,13,False
24,41,False
25,30,False
26,13,False
27,10,False
28,8,False
29,14,False
30,21,False
31,84,False
32,42,False
33,52,False
34,83,False
35,76,False
36,83,False
37,25,False
38,74,False
39,77,False
40,76,False
41,87,False
42,69,False
43,192,False
44,58,False
45,28,False
46,76,False
47,29,False
48,19,False
49,200,True
50,68,False
51,79,False
52,66,False
53,125,False
54,20,False
55,93,False
56,84,False
57,78,False
58,119,False
59,72,False
60,62,False
61,73,False
62,136,False
63,66,False
64,42,False
65,44,False
66,62,False
67,122,False
68,104,False
69,51,False
70,24,False
71,78,False
72,69,False
73,88,False
74,81,False
75,62,False
76,64,False
77,64,False
78,154,False
79,69,False
80,94,False
81,128,False
82,122,False
83,198,False
84,99,False
85,91,False
86,158,False
87,114,False
88,101,False
89,78,False
90,133,False
91,200,True
92,78,False
93,98,False
94,67,False
95,80,False
96,151,False
97,146,False
98,164,False
99,121,False
